timestamp,t_agua_entrada_C,t_agua_saida_C,vazao_agua_m3h,corrente_compressor_A,pressao_evap_bar
2026-07-06 14:00:00,11.82,7.1,149.7,176.6,3.48
2026-07-06 14:00:01,12.0,7.19,148.2,180.4,3.48
2026-07-06 14:00:02,12.18,6.74,149.1,190.7,3.45
2026-07-06 14:00:03,12.09,7.15,151.2,181.7,3.42
2026-07-06 14:00:04,12.21,6.99,149.0,187.1,3.52
2026-07-06 14:00:05,12.02,7.02,148.6,183.5,3.48
2026-07-06 14:00:06,11.96,7.04,149.2,178.9,3.53
2026-07-06 14:00:07,11.9,7.16,148.7,176.2,3.58
2026-07-06 14:00:08,11.97,6.94,151.0,182.8,3.57
2026-07-06 14:00:09,11.91,7.01,149.2,180.6,3.52
2026-07-06 14:00:10,11.97,7.04,150.7,184.2,3.54
2026-07-06 14:00:11,12.11,6.92,150.5,181.8,3.44
2026-07-06 14:00:12,12.15,7.08,151.5,186.2,3.59
2026-07-06 14:00:13,11.87,6.97,150.1,179.3,3.52
2026-07-06 14:00:14,12.05,7.03,149.3,182.0,3.47
2026-07-06 14:00:15,12.02,6.96,150.0,184.0,3.55
2026-07-06 14:00:16,11.91,6.96,149.8,180.7,3.48
2026-07-06 14:00:17,12.16,7.06,148.7,185.3,3.46
2026-07-06 14:00:18,12.22,6.92,149.1,189.5,3.58
2026-07-06 14:00:19,11.92,6.95,149.6,181.7,3.5
2026-07-06 14:00:20,11.95,7.03,148.0,180.7,3.6
2026-07-06 14:00:21,11.99,6.72,149.5,188.4,3.53
2026-07-06 14:00:22,12.24,7.04,151.6,186.5,3.43
2026-07-06 14:00:23,11.82,6.95,149.5,179.2,3.54
2026-07-06 14:00:24,11.93,6.97,151.3,181.8,3.51
2026-07-06 14:00:25,11.88,7.07,149.0,178.1,3.6
2026-07-06 14:00:26,11.91,6.88,150.5,184.4,3.56
2026-07-06 14:00:27,12.22,7.11,148.8,182.3,3.44
2026-07-06 14:00:28,12.05,7.17,150.6,181.1,3.47
2026-07-06 14:00:29,11.95,7.01,150.7,181.7,3.48
2026-07-06 14:00:30,12.01,6.98,150.1,183.3,3.44
2026-07-06 14:00:31,11.72,7.13,150.3,174.8,3.46
2026-07-06 14:00:32,11.68,7.03,149.3,175.3,3.47
2026-07-06 14:00:33,12.0,6.93,149.5,185.4,3.54
2026-07-06 14:00:34,12.05,7.0,149.2,182.9,3.49
2026-07-06 14:00:35,12.18,7.14,150.1,182.9,3.51
2026-07-06 14:00:36,12.09,7.05,150.2,184.4,3.48
2026-07-06 14:00:37,11.53,7.04,149.3,171.4,3.49
2026-07-06 14:00:38,11.99,6.95,150.2,181.5,3.49
2026-07-06 14:00:39,12.23,6.96,149.6,187.9,3.45
2026-07-06 14:00:40,12.02,6.87,148.1,181.7,3.52
2026-07-06 14:00:41,12.08,7.03,151.8,184.0,3.44
2026-07-06 14:00:42,11.94,7.07,151.7,180.4,3.53
2026-07-06 14:00:43,11.83,7.1,150.2,179.3,3.5
2026-07-06 14:00:44,11.89,7.03,149.9,180.6,3.5
2026-07-06 14:00:45,12.02,7.09,149.0,180.9,3.51
2026-07-06 14:00:46,12.1,6.88,150.2,186.9,3.4
2026-07-06 14:00:47,12.1,6.94,149.6,185.5,3.5
2026-07-06 14:00:48,11.96,7.16,149.2,176.7,3.52
2026-07-06 14:00:49,12.11,7.05,149.7,183.2,3.43
2026-07-06 14:00:50,12.09,7.01,150.2,182.9,3.37
2026-07-06 14:00:51,12.08,7.18,149.7,183.2,3.49
2026-07-06 14:00:52,12.19,7.09,150.1,186.5,3.56
2026-07-06 14:00:53,12.01,6.97,150.4,182.5,3.52
2026-07-06 14:00:54,11.89,7.07,150.3,181.0,3.49
2026-07-06 14:00:55,11.77,7.08,147.9,174.4,3.55
2026-07-06 14:00:56,12.29,7.05,152.2,185.2,3.47
2026-07-06 14:00:57,12.1,6.9,149.8,188.5,3.53
2026-07-06 14:00:58,11.82,6.93,152.3,182.3,3.44
2026-07-06 14:00:59,11.9,7.13,150.5,179.1,3.42
2026-07-06 14:01:00,12.01,7.18,150.2,177.3,3.51
2026-07-06 14:01:01,11.86,7.1,151.1,177.0,3.52
2026-07-06 14:01:02,12.01,6.97,151.1,185.0,3.53
2026-07-06 14:01:03,11.97,6.94,149.9,186.1,3.48
2026-07-06 14:01:04,11.93,7.13,151.0,180.0,3.56
2026-07-06 14:01:05,12.12,6.97,149.8,185.0,3.49
2026-07-06 14:01:06,11.9,6.88,149.1,182.2,3.52
2026-07-06 14:01:07,12.0,7.07,150.2,181.0,3.43
2026-07-06 14:01:08,11.84,7.12,147.3,174.5,3.46
2026-07-06 14:01:09,11.95,6.9,149.8,184.1,3.43
2026-07-06 14:01:10,11.95,6.87,149.6,180.9,3.49
2026-07-06 14:01:11,12.21,6.84,146.8,191.3,3.51
2026-07-06 14:01:12,11.96,7.06,149.3,182.3,3.44
2026-07-06 14:01:13,11.97,7.01,150.7,180.5,3.56
2026-07-06 14:01:14,12.16,6.71,149.8,187.2,3.5
2026-07-06 14:01:15,12.06,6.98,148.9,181.0,3.62
2026-07-06 14:01:16,11.92,7.06,151.2,180.0,3.55
2026-07-06 14:01:17,12.14,6.95,150.2,187.3,3.52
2026-07-06 14:01:18,11.89,7.04,152.7,182.0,3.56
2026-07-06 14:01:19,12.27,6.92,149.7,186.0,3.5
2026-07-06 14:01:20,11.94,7.08,152.0,179.8,3.4
2026-07-06 14:01:21,11.92,6.93,150.3,183.9,3.62
2026-07-06 14:01:22,12.23,6.79,150.3,190.1,3.59
2026-07-06 14:01:23,12.3,6.91,150.1,190.2,3.55
2026-07-06 14:01:24,12.13,6.85,150.4,186.7,3.47
2026-07-06 14:01:25,11.89,7.0,152.1,179.7,3.48
2026-07-06 14:01:26,12.19,7.01,150.7,185.3,3.62
2026-07-06 14:01:27,11.98,7.04,148.8,182.4,3.59
2026-07-06 14:01:28,12.0,7.03,150.8,180.9,3.49
2026-07-06 14:01:29,12.16,7.01,150.6,181.9,3.43
2026-07-06 14:01:30,12.21,7.01,149.2,184.5,3.47
2026-07-06 14:01:31,11.85,7.03,150.9,180.9,3.45
2026-07-06 14:01:32,11.88,7.01,149.3,179.6,3.51
2026-07-06 14:01:33,12.15,6.92,149.4,186.8,3.48
2026-07-06 14:01:34,11.97,7.06,152.6,180.5,3.57
2026-07-06 14:01:35,12.1,6.94,149.7,186.4,3.51
2026-07-06 14:01:36,11.95,7.0,151.0,181.6,3.52
2026-07-06 14:01:37,11.94,7.02,152.2,181.7,3.43
2026-07-06 14:01:38,12.12,7.02,148.9,183.5,3.4
2026-07-06 14:01:39,11.86,7.06,151.5,179.1,3.5
2026-07-06 14:01:40,12.04,7.01,151.0,182.8,3.39
2026-07-06 14:01:41,11.87,7.09,149.8,179.3,3.47
2026-07-06 14:01:42,11.84,7.0,150.5,179.6,3.45
2026-07-06 14:01:43,11.91,7.04,150.1,181.5,3.47
2026-07-06 14:01:44,12.02,7.13,151.1,181.5,3.44
2026-07-06 14:01:45,12.01,7.05,149.8,181.1,3.5
2026-07-06 14:01:46,11.91,6.79,148.9,185.3,3.55
2026-07-06 14:01:47,12.05,7.02,150.0,181.0,3.47
2026-07-06 14:01:48,11.84,6.91,148.1,179.9,3.38
2026-07-06 14:01:49,12.03,7.12,150.0,180.0,3.53
2026-07-06 14:01:50,12.06,7.03,149.9,185.6,3.45
2026-07-06 14:01:51,12.01,6.94,149.6,182.4,3.6
2026-07-06 14:01:52,12.32,7.06,150.3,183.6,3.47
2026-07-06 14:01:53,12.01,7.18,149.5,180.4,3.51
2026-07-06 14:01:54,12.13,7.07,150.0,182.4,3.47
2026-07-06 14:01:55,12.01,7.04,151.7,184.0,3.53
2026-07-06 14:01:56,12.05,7.23,151.0,178.3,3.55
2026-07-06 14:01:57,12.09,6.86,146.4,182.3,3.58
2026-07-06 14:01:58,12.05,6.93,147.8,182.0,3.49
2026-07-06 14:01:59,12.11,6.94,150.1,184.1,3.5
2026-07-06 14:02:00,12.03,6.9,150.6,184.7,3.53
2026-07-06 14:02:01,12.18,7.04,149.8,185.1,3.52
2026-07-06 14:02:02,11.77,7.02,152.0,178.7,3.56
2026-07-06 14:02:03,12.02,6.92,150.1,184.0,3.45
2026-07-06 14:02:04,12.12,6.94,150.6,185.2,3.52
2026-07-06 14:02:05,12.15,6.99,148.6,185.9,3.53
2026-07-06 14:02:06,11.87,6.87,150.7,182.6,3.54
2026-07-06 14:02:07,11.88,6.97,152.6,182.4,3.41
2026-07-06 14:02:08,12.03,6.97,148.3,181.1,3.46
2026-07-06 14:02:09,11.8,7.02,150.5,177.6,3.54
2026-07-06 14:02:10,11.99,6.91,151.4,184.9,3.56
2026-07-06 14:02:11,11.98,7.13,151.0,178.0,3.51
2026-07-06 14:02:12,12.0,6.8,149.6,185.8,3.48
2026-07-06 14:02:13,11.93,7.18,148.6,177.8,3.53
2026-07-06 14:02:14,12.01,7.02,149.9,183.3,3.46
2026-07-06 14:02:15,11.88,7.06,150.0,181.5,3.47
2026-07-06 14:02:16,12.03,7.14,148.9,182.2,3.57
2026-07-06 14:02:17,12.28,7.0,149.8,185.2,3.51
2026-07-06 14:02:18,11.88,7.07,149.0,177.1,3.42
2026-07-06 14:02:19,11.96,6.97,152.2,184.7,3.6
2026-07-06 14:02:20,12.18,7.04,149.5,186.9,3.41
2026-07-06 14:02:21,12.0,7.1,152.1,180.3,3.51
2026-07-06 14:02:22,11.89,7.05,152.0,179.3,3.52
2026-07-06 14:02:23,11.89,7.05,150.3,179.3,3.46
2026-07-06 14:02:24,12.16,6.85,149.6,188.3,3.49
2026-07-06 14:02:25,12.08,7.05,148.5,183.4,3.44
2026-07-06 14:02:26,11.94,7.15,149.6,181.2,3.57
2026-07-06 14:02:27,11.98,7.07,151.7,182.6,3.53
2026-07-06 14:02:28,12.01,6.99,149.4,182.8,3.5
2026-07-06 14:02:29,12.1,6.94,151.4,186.9,3.6
2026-07-06 14:02:30,12.35,7.05,149.1,187.2,3.52
2026-07-06 14:02:31,11.91,7.16,147.8,177.7,3.44
2026-07-06 14:02:32,11.94,7.02,150.7,179.9,3.46
2026-07-06 14:02:33,12.08,7.0,149.8,181.5,3.62
2026-07-06 14:02:34,11.93,7.05,150.1,184.0,3.49
2026-07-06 14:02:35,12.11,7.11,148.4,182.0,3.52
2026-07-06 14:02:36,11.82,6.95,150.7,182.0,3.42
2026-07-06 14:02:37,12.04,7.14,148.6,180.9,3.49
2026-07-06 14:02:38,11.9,7.01,149.8,180.3,3.48
2026-07-06 14:02:39,11.75,7.05,150.6,178.3,3.51
2026-07-06 14:02:40,11.98,7.05,149.9,180.4,3.5
2026-07-06 14:02:41,12.06,6.88,151.5,184.8,3.58
2026-07-06 14:02:42,11.74,7.07,150.0,178.4,3.53
2026-07-06 14:02:43,11.8,7.03,150.0,181.6,3.56
2026-07-06 14:02:44,12.18,6.96,151.1,186.4,3.45
2026-07-06 14:02:45,12.17,7.04,151.0,186.2,3.41
2026-07-06 14:02:46,11.86,6.99,149.8,182.5,3.47
2026-07-06 14:02:47,11.79,7.03,150.0,179.1,3.52
2026-07-06 14:02:48,11.77,7.13,151.1,175.3,3.5
2026-07-06 14:02:49,11.88,7.0,148.0,178.8,3.52
2026-07-06 14:02:50,11.83,7.08,149.1,177.4,3.54
2026-07-06 14:02:51,12.11,6.87,149.7,184.8,3.55
2026-07-06 14:02:52,11.93,6.97,149.5,183.7,3.44
2026-07-06 14:02:53,12.04,6.9,147.8,184.1,3.58
2026-07-06 14:02:54,12.13,7.01,149.7,183.4,3.54
2026-07-06 14:02:55,12.24,6.96,150.9,186.1,3.52
2026-07-06 14:02:56,12.13,7.08,150.1,185.2,3.42
2026-07-06 14:02:57,11.95,6.93,148.9,183.3,3.54
2026-07-06 14:02:58,12.15,6.97,148.7,185.5,3.49
2026-07-06 14:02:59,12.2,6.91,147.0,186.4,3.51
2026-07-06 14:03:00,11.97,7.08,151.7,179.2,3.57
2026-07-06 14:03:01,11.94,7.02,149.4,183.4,3.45
2026-07-06 14:03:02,11.92,7.1,149.5,180.5,3.47
2026-07-06 14:03:03,12.05,7.16,149.9,183.8,3.46
2026-07-06 14:03:04,11.94,6.91,149.9,183.8,3.51
2026-07-06 14:03:05,12.02,6.87,149.2,186.3,3.43
2026-07-06 14:03:06,12.03,6.93,147.0,183.7,3.52
2026-07-06 14:03:07,12.13,7.01,148.9,184.5,3.45
2026-07-06 14:03:08,12.21,7.06,149.3,184.1,3.42
2026-07-06 14:03:09,12.17,6.82,149.9,185.8,3.49
2026-07-06 14:03:10,12.33,7.09,150.7,189.3,3.44
2026-07-06 14:03:11,12.0,6.9,149.1,182.5,3.46
2026-07-06 14:03:12,11.83,7.05,148.5,177.9,3.48
2026-07-06 14:03:13,12.04,7.03,150.4,182.8,3.54
2026-07-06 14:03:14,11.87,7.0,151.9,182.4,3.47
2026-07-06 14:03:15,11.85,6.88,149.0,181.5,3.46
2026-07-06 14:03:16,12.09,6.91,149.1,185.6,3.48
2026-07-06 14:03:17,11.71,7.1,149.8,175.8,3.52
2026-07-06 14:03:18,12.13,7.01,148.5,181.5,3.45
2026-07-06 14:03:19,12.17,6.96,151.0,187.2,3.51
2026-07-06 14:03:20,11.79,7.06,149.9,180.7,3.58
2026-07-06 14:03:21,12.17,6.84,147.9,186.1,3.45
2026-07-06 14:03:22,12.03,7.08,150.0,179.8,3.52
2026-07-06 14:03:23,12.07,7.06,150.1,182.5,3.48
2026-07-06 14:03:24,12.09,7.2,150.9,178.6,3.54
2026-07-06 14:03:25,12.09,7.02,150.0,185.3,3.55
2026-07-06 14:03:26,12.2,7.05,150.2,182.8,3.62
2026-07-06 14:03:27,12.07,7.09,150.4,183.0,3.59
2026-07-06 14:03:28,11.97,6.95,149.4,181.5,3.44
2026-07-06 14:03:29,12.18,6.82,149.8,188.5,3.48
2026-07-06 14:03:30,12.06,7.06,149.4,182.9,3.49
2026-07-06 14:03:31,11.88,7.05,149.2,178.5,3.46
2026-07-06 14:03:32,11.95,7.0,150.2,180.8,3.54
2026-07-06 14:03:33,11.74,7.02,151.6,177.8,3.5
2026-07-06 14:03:34,12.34,6.82,150.1,191.6,3.5
2026-07-06 14:03:35,12.06,7.0,149.6,183.6,3.45
2026-07-06 14:03:36,12.05,6.89,151.9,185.7,3.45
2026-07-06 14:03:37,11.82,7.0,151.5,183.3,3.5
2026-07-06 14:03:38,11.97,7.05,149.5,178.9,3.55
2026-07-06 14:03:39,11.93,7.13,150.8,179.8,3.49
2026-07-06 14:03:40,11.99,7.02,151.5,181.5,3.51
2026-07-06 14:03:41,11.99,6.99,150.8,183.5,3.49
2026-07-06 14:03:42,12.03,6.93,150.0,185.2,3.44
2026-07-06 14:03:43,12.17,6.93,149.6,184.0,3.59
2026-07-06 14:03:44,11.97,6.92,150.9,181.3,3.51
2026-07-06 14:03:45,12.07,7.13,151.6,183.1,3.53
2026-07-06 14:03:46,11.87,6.85,152.1,185.5,3.62
2026-07-06 14:03:47,12.01,6.99,148.7,182.4,3.5
2026-07-06 14:03:48,11.67,7.09,150.6,176.3,3.52
2026-07-06 14:03:49,11.78,6.99,148.0,178.0,3.52
2026-07-06 14:03:50,11.85,7.2,151.3,182.3,3.49
2026-07-06 14:03:51,11.72,7.1,150.3,176.5,3.42
2026-07-06 14:03:52,11.61,6.98,148.3,176.3,3.52
2026-07-06 14:03:53,12.1,6.87,150.7,184.7,3.5
2026-07-06 14:03:54,11.88,6.87,149.4,181.9,3.58
2026-07-06 14:03:55,11.93,7.18,150.9,176.3,3.52
2026-07-06 14:03:56,11.98,6.97,149.6,183.0,3.58
2026-07-06 14:03:57,11.95,7.06,148.7,183.8,3.5
2026-07-06 14:03:58,12.05,7.08,151.3,184.5,3.5
2026-07-06 14:03:59,11.96,6.98,149.9,184.1,3.41
2026-07-06 14:04:00,12.27,7.1,151.0,185.7,3.6
2026-07-06 14:04:01,12.13,7.06,148.4,185.4,3.5
2026-07-06 14:04:02,11.84,7.04,148.9,178.0,3.47
2026-07-06 14:04:03,11.98,7.13,147.4,178.6,3.47
2026-07-06 14:04:04,12.11,7.13,151.6,182.9,3.58
2026-07-06 14:04:05,12.06,7.06,152.1,184.4,3.42
2026-07-06 14:04:06,12.01,7.03,150.2,179.5,3.55
2026-07-06 14:04:07,12.05,7.15,150.6,180.4,3.54
2026-07-06 14:04:08,11.95,6.88,150.6,186.5,3.5
2026-07-06 14:04:09,12.08,7.11,149.7,180.9,3.47
